# search for squarks and gluinos
# 0 leptons, 2-6 jets, MET
# only Meff, no jigsaw
# Moriond 2017, 40/fb

Inputfile:
XSect:           1.01 fb
 Error:          0 fb
MCEvents:        50000
 SumOfWeights:   50000
 SumOfWeights2:  50000
 NormEvents:     36.461

Cut                      Sum_W  Sum_W2  Acc      N_Norm     
5j-2000_09_PTjets        18846  18846   0.37692  13.7429    
5j-2000_10_Etajets       18846  18846   0.37692  13.7429    
5j-2000_11_aplanarity    18846  18846   0.37692  13.7429    
5j-2000_12_METrelative   10407  10407   0.20814  7.58899    
5j-2000_13_Meff          10153  10153   0.20306  7.40377    
5j-2600_06_jetmulti      33379  33379   0.66758  24.3406    
5j-2600_07_dPhilow       20328  20328   0.40656  14.8236    
5j-2600_08_dPhihigh      14217  14217   0.28434  10.3673    
5j-2600_09_PTjets        14217  14217   0.28434  10.3673    
5j-2600_10_Etajets       14217  14217   0.28434  10.3673    
5j-2600_11_aplanarity    14217  14217   0.28434  10.3673    
5j-2600_12_METrelative   6714   6714    0.13428  4.89598    
5j-2600_13_Meff          5727   5727    0.11454  4.17624    
6j-1200_06_jetmulti      20711  20711   0.41422  15.1029    
6j-1200_07_dPhilow       16640  16640   0.3328   12.1342    
6j-1200_08_dPhihigh      13511  13511   0.27022  9.85249    
6j-1200_09_PTjets        13511  13511   0.27022  9.85249    
6j-1200_10_Etajets       10248  10248   0.20496  7.47305    
6j-1200_11_aplanarity    10248  10248   0.20496  7.47305    
6j-1200_12_METrelative   4740   4740    0.0948   3.4565     
6j-1200_13_Meff          4740   4740    0.0948   3.4565     
6j-1800_06_jetmulti      20711  20711   0.41422  15.1029    
6j-1800_07_dPhilow       16640  16640   0.3328   12.1342    
6j-1800_08_dPhihigh      13511  13511   0.27022  9.85249    
6j-1800_09_PTjets        5321   5321    0.10642  3.88018    
6j-1800_10_Etajets       4347   4347    0.08694  3.16992    
6j-1800_11_aplanarity    3628   3628    0.07256  2.64561    
6j-1800_12_METrelative   2165   2165    0.0433   1.57876    
6j-1800_13_Meff          2161   2161    0.04322  1.57584    
6j-2200_06_jetmulti      20711  20711   0.41422  15.1029    
6j-2200_07_dPhilow       16640  16640   0.3328   12.1342    
6j-2200_08_dPhihigh      13511  13511   0.27022  9.85249    
6j-2200_09_PTjets        5321   5321    0.10642  3.88018    
6j-2200_10_Etajets       5321   5321    0.10642  3.88018    
6j-2200_11_aplanarity    2948   2948    0.05896  2.14974    
6j-2200_12_METrelative   1781   1781    0.03562  1.29874    
6j-2200_13_Meff          1747   1747    0.03494  1.27395    
6j-2600_06_jetmulti      20711  20711   0.41422  15.1029    
6j-2600_07_dPhilow       16640  16640   0.3328   12.1342    
6j-2600_08_dPhihigh      13511  13511   0.27022  9.85249    
6j-2600_09_PTjets        5321   5321    0.10642  3.88018    
6j-2600_10_Etajets       5321   5321    0.10642  3.88018    
6j-2600_11_aplanarity    2948   2948    0.05896  2.14974    
6j-2600_12_METrelative   2365   2365    0.0473   1.72461    
6j-2600_13_Meff          2148   2148    0.04296  1.56636    
